Name,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
nan,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
Jesse,Return_to_owner,Dog,Neutered Male,5 years,Collie Smooth/German Shepherd,Brown/Black
Delgado,Transfer,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Brown
nan,Euthanasia,Dog,Intact Male,3 years,Labrador Retriever Mix,Yellow
Pony Boy,Return_to_owner,Dog,Neutered Male,3 years,Pit Bull Mix,Brown/White
nan,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Blue/White
Mica,Transfer,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black/White
nan,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
Pilar,Adoption,Cat,Spayed Female,7 years,Domestic Shorthair Mix,Blue Tabby
nan,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
Lucy,Transfer,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
nan,Transfer,Cat,Intact Male,4 years,Domestic Longhair Mix,Black/White
Ali,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Black/White
Chester,Return_to_owner,Dog,Neutered Male,12 years,Beagle,Tricolor
Daisy,Return_to_owner,Cat,Spayed Female,9 years,Domestic Shorthair Mix,White/Black
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
Edith,Adoption,Dog,Spayed Female,5 months,German Shepherd Mix,Black/Brown
nan,Euthanasia,Dog,Intact Male,6 years,Pit Bull/Labrador Retriever,Chocolate/White
nan,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
Caty,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Blue Tabby/White
Gabe,Adoption,Dog,Neutered Male,2 years,Blue Lacy Mix,Gray/White
Beth,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby/White
nan,Transfer,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Black
Bashful,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Calico
nan,Transfer,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan
Lola,Return_to_owner,Dog,Spayed Female,4 years,Black Mouth Cur Mix,Tan/Black
Sugar,Adoption,Dog,Neutered Male,2 years,Dachshund/Beagle,Brown/White
Orangejello,Transfer,Cat,Intact Male,1 year,Domestic Shorthair Mix,Orange Tabby/White
Prec Punkin',Euthanasia,Dog,Spayed Female,11 years,Yorkshire Terrier Mix,Brown/Black
Wilma,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black
Bella,Adoption,Dog,Spayed Female,2 years,Dachshund Mix,Tan/White
nan,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
Chiquita,Return_to_owner,Dog,Spayed Female,6 years,Maltese Mix,White
Hero,Transfer,Dog,Neutered Male,6 months,Pointer Mix,Black/White
Molly,Transfer,Dog,Intact Female,2 months,English Foxhound,Buff
nan,Transfer,Cat,Unknown,2 months,Domestic Shorthair Mix,Brown Tabby/White
Bella,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Red
Chili,Adoption,Dog,Neutered Male,2 months,Vizsla Mix,Brown
Hastings,Transfer,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
nan,Adoption,Dog,Spayed Female,3 years,German Shepherd/Great Pyrenees,White
Tootsie,Return_to_owner,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black
Snookie,Return_to_owner,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Blue/Tan
Abby,Transfer,Dog,Spayed Female,2 years,Cardigan Welsh Corgi/Chihuahua Shorthair,Tan
Nym,Adoption,Cat,Spayed Female,3 months,Domestic Longhair,Brown Tabby
nan,Euthanasia,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
Zeus,Adoption,Dog,Neutered Male,2 months,Chow Chow/Pit Bull,Black
nan,Transfer,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Black/White
Charlie,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair,White
nan,Euthanasia,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby
Taco,Transfer,Cat,Unknown,4 weeks,Siamese Mix,Seal Point
nan,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Blue Tabby
Avaddon,Euthanasia,Dog,Neutered Male,12 years,Pit Bull Mix,Brown Brindle
nan,Adoption,Dog,Neutered Male,1 year,Dachshund/Beagle,Brown/White
Arthur,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
nan,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Black
nan,Transfer,Dog,Intact Female,3 months,Labrador Retriever Mix,Black/White
nan,Adoption,Cat,Spayed Female,3 months,Domestic Medium Hair Mix,Calico
Freeway,Adoption,Dog,Neutered Male,5 months,Plott Hound Mix,Brown Brindle/White
Chloe,Adoption,Dog,Spayed Female,3 years,Boxer/Great Dane,Black
Georgia,Transfer,Dog,Spayed Female,7 years,Lhasa Apso,White/Black
Hero,Euthanasia,Dog,Spayed Female,2 years,German Shepherd Mix,Black/Tan
Thelma,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black
Darcy,Adoption,Dog,Spayed Female,9 years,Beagle/Treeing Walker Coonhound,White/Brown
Taz,Transfer,Dog,Neutered Male,7 months,Border Collie Mix,Black/White
nan,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
nan,Transfer,Cat,Intact Male,3 years,Domestic Shorthair Mix,Black/White
nan,Adoption,Dog,Neutered Male,3 years,Border Terrier Mix,Gray
Poppy,Adoption,Dog,Neutered Male,5 years,Chihuahua Shorthair Mix,Tan/White
Dexter,Transfer,Dog,Neutered Male,5 years,Boxer Mix,Brown Brindle/White
nan,Transfer,Cat,Intact Female,2 weeks,Domestic Medium Hair Mix,Blue
nan,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Black
Matty,Transfer,Cat,Spayed Female,4 years,Domestic Shorthair Mix,Torbie
Chubbs,Return_to_owner,Dog,Neutered Male,4 years,Cairn Terrier Mix,Tan/White
Lilly,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
Minnie,Return_to_owner,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
Santiago,Adoption,Dog,Neutered Male,2 years,Dogo Argentino Mix,White
Franklin,Return_to_owner,Dog,Neutered Male,9 years,Dachshund Mix,Black/Brown
Myles,Return_to_owner,Dog,Neutered Male,5 years,Beagle Mix,Tricolor
Wiz,Euthanasia,Dog,Neutered Male,1 year,Chihuahua Shorthair/Dachshund,Yellow Brindle/White
Abby,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Fawn/White
nan,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
Boss,Transfer,Dog,Intact Male,5 months,Pit Bull Mix,White/Brown
nan,Euthanasia,Cat,Intact Male,6 years,Domestic Shorthair Mix,Orange Tabby
Missy,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
Basil,Transfer,Dog,Intact Male,3 months,Chihuahua Shorthair Mix,Black/White
Katydid,Transfer,Cat,Intact Female,1 month,Domestic Longhair Mix,Calico
Kiki,Return_to_owner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Brown
Desmo,Return_to_owner,Dog,Neutered Male,5 years,Dachshund Mix,Black
Pablo,Adoption,Dog,Neutered Male,8 years,Miniature Schnauzer/Miniature Poodle,Black
nan,Adoption,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black/White
nan,Euthanasia,Cat,Intact Female,7 years,Domestic Shorthair Mix,Tortie
Pandora,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Black
Jackson,Adoption,Dog,Neutered Male,5 years,Pit Bull,Black
Watson,Adoption,Dog,Neutered Male,1 year,Pit Bull Mix,White/Brown
nan,Transfer,Cat,Intact Male,3 months,Domestic Shorthair Mix,Brown Tabby
Levon,Return_to_owner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
Snickerdoodl,Return_to_owner,Dog,Spayed Female,9 years,Labrador Retriever Mix,Chocolate/White
Lola,Adoption,Dog,Spayed Female,3 years,Pit Bull Mix,Red/White
Jumbly,Return_to_owner,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
Pearl,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair/Jack Russell Terrier,Black/White
Pebbles,Transfer,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Black/Tan
Minnie,Return_to_owner,Dog,Spayed Female,1 year,Pit Bull,Brown Brindle
Merlin,Transfer,Cat,Neutered Male,2 years,Siamese Mix,Flame Point
Parsley,Return_to_owner,Dog,Spayed Female,2 years,Tibetan Terrier Mix,Brown
nan,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Blue/White
nan,Transfer,Cat,Unknown,3 months,Domestic Shorthair Mix,Tortie
Abby,Adoption,Dog,Spayed Female,1 month,Miniature Pinscher/Chihuahua Shorthair,Tricolor
nan,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
nan,Adoption,Cat,Neutered Male,10 months,Domestic Medium Hair Mix,Cream Tabby
Ricky,Transfer,Cat,Spayed Female,2 years,Domestic Medium Hair Mix,Brown Tabby/White
Tom,Adoption,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Calico
Amarillo,Adoption,Dog,Neutered Male,6 months,Labrador Retriever Mix,Yellow
Nala,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
nan,Adoption,Dog,Spayed Female,1 year,Dachshund Mix,Tan
Winnie,Transfer,Dog,Intact Female,6 months,Dachshund Mix,Brown/White
Luna,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Black/White
nan,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Calico
Tokyo,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby
Diamond,Adoption,Dog,Spayed Female,11 months,Blue Lacy Mix,Blue/White
nan,Transfer,Dog,Neutered Male,3 months,Rat Terrier Mix,Tricolor
Minnie,Return_to_owner,Dog,Spayed Female,2 years,Dachshund Longhair,Brown
Neville,Transfer,Dog,Neutered Male,2 years,Pit Bull Mix,Red
Conrad,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
Shiva,Adoption,Cat,Spayed Female,4 months,Domestic Longhair,Calico
nan,Transfer,Dog,Intact Female,4 months,Dachshund/Chihuahua Shorthair,Red
nan,Transfer,Cat,Intact Female,5 months,Domestic Shorthair Mix,Torbie
Jupiter,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black Tabby/White
Nero,Transfer,Dog,Neutered Male,7 years,Chihuahua Shorthair Mix,Brown/White
Oscar,Adoption,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black/White
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie/Calico
Dasher,Adoption,Dog,Neutered Male,6 months,Border Collie Mix,Black/White
Libby,Adoption,Dog,Intact Female,5 months,Labrador Retriever Mix,Black/White
Gracie,Return_to_owner,Dog,Spayed Female,8 years,Maltese,White
nan,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Sugar,Adoption,Cat,Spayed Female,1 month,Domestic Shorthair Mix,Blue Tabby/White
nan,Return_to_owner,Dog,Spayed Female,5 months,Labrador Retriever Mix,White
Jethro,Transfer,Cat,Intact Male,1 month,Domestic Shorthair Mix,Brown Tabby
nan,Transfer,Cat,Intact Male,4 months,Domestic Shorthair Mix,Blue Tabby
Keyla,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Tan
Samson,Adoption,Dog,Neutered Male,2 years,Labrador Retriever/Rottweiler,Black/Brown
August,Transfer,Cat,Spayed Female,11 years,Domestic Shorthair Mix,Tortie
nan,Adoption,Dog,Neutered Male,2 months,Dachshund/Manchester Terrier,Tricolor
Herb,Transfer,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black
Stripey,Adoption,Cat,Intact Female,2 months,Domestic Shorthair Mix,Brown Tabby
Sallie,Adoption,Dog,Spayed Female,1 month,Plott Hound/Labrador Retriever,Black/Brown Brindle
Klo Dog,Return_to_owner,Dog,Spayed Female,7 years,Chihuahua Shorthair/Rat Terrier,White/Tan
nan,Transfer,Cat,Intact Male,4 days,Domestic Shorthair Mix,Cream Tabby/White
Milo,Return_to_owner,Dog,Neutered Male,4 years,Siberian Husky,White/Gray
Scarlet,Transfer,Dog,Spayed Female,2 years,Australian Cattle Dog Mix,Tan/White
Pebbles,Return_to_owner,Dog,Spayed Female,1 year,Pointer Mix,White/Black
Cairo,Return_to_owner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown Brindle/White
nan,Transfer,Cat,Intact Female,4 weeks,Domestic Medium Hair Mix,Brown Tabby
Calypso,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Black/White
Luna,Adoption,Dog,Spayed Female,2 years,Yorkshire Terrier/Miniature Poodle,Tan/Silver
nan,Transfer,Cat,Intact Male,10 months,Domestic Shorthair Mix,Orange Tabby
Diva,Transfer,Dog,Spayed Female,4 years,German Shepherd Mix,White
Olivia,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Brown Tabby/White
Ashley,Transfer,Dog,Spayed Female,6 years,Catahoula/Labrador Retriever,White/Tan
nan,Adoption,Dog,Spayed Female,9 months,Miniature Poodle Mix,Black/White
Jaqueline,Adoption,Dog,Spayed Female,3 years,Jack Russell Terrier/Pit Bull,Red
Tabitha,Adoption,Cat,Spayed Female,8 months,Domestic Shorthair Mix,Torbie
Roxie,Adoption,Dog,Spayed Female,10 months,Queensland Heeler/Shetland Sheepdog,Red Tick/Black
nan,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,White/Cream Tabby
Harper,Adoption,Dog,Neutered Male,1 year,Catahoula Mix,Blue Merle
Hanley,Adoption,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
Boomer,Adoption,Dog,Neutered Male,3 months,Labrador Retriever Mix,Yellow
Brownie,Return_to_owner,Dog,Intact Male,6 years,Chihuahua Shorthair Mix,Chocolate/Tan
nan,Transfer,Cat,Unknown,1 year,Domestic Longhair Mix,Black
Swisha,Return_to_owner,Dog,Neutered Male,2 years,American Pit Bull Terrier Mix,Tan/White
nan,Adoption,Dog,Spayed Female,5 years,Dachshund Longhair Mix,Tan/White
nan,Euthanasia,Cat,Neutered Male,12 years,Domestic Longhair Mix,Orange Tabby/White
Dutchess,Adoption,Dog,Spayed Female,2 years,German Shepherd Mix,Sable
Buddy,Adoption,Dog,Neutered Male,6 years,Labrador Retriever Mix,Black/White
Meowser,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Black
Cassie,Return_to_owner,Dog,Spayed Female,8 months,Doberman Pinsch Mix,Tricolor
Teddy,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Black
Isis,Transfer,Cat,Intact Female,15 years,Domestic Shorthair Mix,Black
nan,Transfer,Dog,Intact Female,3 weeks,Pointer Mix,Chocolate/White
Dali,Adoption,Dog,Neutered Male,5 months,Dachshund/Jack Russell Terrier,White/Brown
nan,Adoption,Dog,Neutered Male,2 years,Miniature Poodle/Miniature Schnauzer,Black/White
Bella,Adoption,Dog,Spayed Female,2 years,Whippet Mix,Brown Brindle/White
Dino,Return_to_owner,Dog,Intact Male,2 years,Australian Shepherd Mix,Brown Merle/White
nan,Adoption,Dog,Spayed Female,2 years,Labrador Retriever Mix,Tan/White
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico
Emma,Transfer,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Tiger/White
nan,Transfer,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
Jackson,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Brown Tabby
Marco,Transfer,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown
nan,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
Byron,Adoption,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black
Oreo,Transfer,Dog,Spayed Female,1 year,Rat Terrier Mix,White/Black
Pia,Adoption,Dog,Spayed Female,2 months,English Pointer Mix,Brown/White
Bleu,Adoption,Dog,Spayed Female,1 year,Miniature Schnauzer/Yorkshire Terrier,Black/White
nan,Adoption,Dog,Spayed Female,3 years,Cairn Terrier Mix,Buff
Midnight,Euthanasia,Dog,Neutered Male,9 years,Labrador Retriever/Pit Bull,Black
Julia,Return_to_owner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,White/Black
nan,Transfer,Dog,Spayed Female,5 years,Great Dane,Black/White
Rello,Return_to_owner,Dog,Intact Male,2 years,Chihuahua Shorthair Mix,Black/White
Bode,Return_to_owner,Dog,Neutered Male,2 years,Chesa Bay Retr,Brown
Jake,Return_to_owner,Dog,Neutered Male,7 years,German Shepherd,Brown/Black
nan,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
Rebecca,Adoption,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Black/White
Buddy,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
Anita,Return_to_owner,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan/Black
nan,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
Daisy,Return_to_owner,Dog,Spayed Female,6 years,Plott Hound Mix,Brown Brindle
nan,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Brown Tabby/White
Kiki,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/Black
Jerrid,Adoption,Cat,Neutered Male,7 years,Siamese Mix,Flame Point
Vidalia,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Brown Tabby/White
Simba,Adoption,Dog,Neutered Male,3 years,Chow Chow Mix,Red
nan,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black
nan,Adoption,Dog,Spayed Female,7 years,English Pointer,Liver/White
nan,Euthanasia,Cat,Intact Male,1 month,Domestic Shorthair Mix,White/Blue Tabby
June,Return_to_owner,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
Earlene,Return_to_owner,Dog,Intact Female,5 months,Boxer Mix,Black/White
Vader,Transfer,Dog,Neutered Male,4 years,Basset Hound/Labrador Retriever,Black/White
Brownie,Return_to_owner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Buff
Little Missy,Transfer,Dog,Spayed Female,7 years,Airedale Terrier Mix,Tricolor
Buddy,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/Chow Chow,Brown
nan,Transfer,Cat,Neutered Male,1 month,Domestic Shorthair Mix,Orange Tabby/White
Kodiak,Adoption,Dog,Neutered Male,1 month,Beagle/German Shepherd,Black/Brown
Bosco,Adoption,Cat,Neutered Male,2 months,Manx Mix,White/Black
nan,Transfer,Cat,Intact Female,3 years,Domestic Shorthair Mix,Blue
Daisy,Transfer,Dog,Spayed Female,4 years,Chihuahua Shorthair/Rat Terrier,Tan/White
Priscilla,Adoption,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
Stella,Adoption,Dog,Spayed Female,2 years,Flat Coat Retriever Mix,Black/White
Dharma,Transfer,Dog,Spayed Female,10 years,Cocker Spaniel,Buff
Taco,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Brown Tabby
Pebbles,Adoption,Dog,Spayed Female,10 years,Chihuahua Shorthair Mix,Tan
Arwen,Adoption,Cat,Spayed Female,2 years,Domestic Longhair Mix,Brown Tabby/White
Rainey,Return_to_owner,Dog,Spayed Female,7 years,Rat Terrier Mix,White/Black
nan,Adoption,Dog,Neutered Male,1 year,Border Terrier/Chihuahua Shorthair,Tan/Black
Tank,Transfer,Dog,Neutered Male,5 years,Pit Bull Mix,Brown Brindle/White
Kiki,Return_to_owner,Dog,Spayed Female,6 years,Chihuahua Shorthair Mix,Black/Gray
nan,Transfer,Cat,Unknown,1 week,Domestic Shorthair Mix,Brown Tabby
nan,Euthanasia,Dog,Spayed Female,7 years,Pit Bull Mix,Tan/White
Kato,Adoption,Dog,Neutered Male,1 year,Chihuahua Longhair Mix,Black
Jasper,Adoption,Dog,Neutered Male,1 year,Jack Russell Terrier/Dachshund,White/Brown
nan,Transfer,Cat,Intact Female,2 weeks,Domestic Shorthair Mix,Orange Tabby
nan,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Orange Tabby
Roger,Return_to_owner,Dog,Neutered Male,5 years,German Shepherd,Black/Brown
Roxi,Return_to_owner,Dog,Spayed Female,2 years,Rottweiler Mix,Black/Tan
Hedwig,Adoption,Dog,Neutered Male,10 months,Siberian Husky Mix,White/Cream
nan,Transfer,Cat,Intact Female,3 months,Domestic Shorthair Mix,Black
Apollo,Adoption,Dog,Neutered Male,9 months,Cardigan Welsh Corgi/Cardigan Welsh Corgi,Fawn/White
nan,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Black/White
nan,Transfer,Cat,Unknown,0 years,Domestic Shorthair Mix,Blue
nan,Transfer,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Calico
nan,Adoption,Dog,Spayed Female,8 months,Chihuahua Shorthair Mix,Chocolate/White
nan,Transfer,Dog,Intact Male,1 year,Cairn Terrier Mix,Cream
Ruth,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby
Pumpkin,Return_to_owner,Cat,Neutered Male,3 months,Domestic Shorthair,Black/White
Coco,Return_to_owner,Dog,Intact Male,14 years,Chihuahua Shorthair Mix,Chocolate/White
Sam,Return_to_owner,Dog,Neutered Male,7 years,Labrador Retriever Mix,Chocolate
Newton,Adoption,Dog,Neutered Male,2 years,Shih Tzu,Gray/White
Lizzie,Transfer,Dog,Spayed Female,6 months,Plott Hound Mix,Brown Brindle
Orion,Adoption,Dog,Neutered Male,11 months,Australian Shepherd Mix,Tan/White
Chewy,Adoption,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan/White
Hailey,Transfer,Cat,Intact Female,2 months,Domestic Longhair Mix,Black/White
Jimmy,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/Border Collie,Black/White
nan,Euthanasia,Cat,Intact Female,4 weeks,Siamese Mix,Blue Point
Machete,Euthanasia,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,White/Brown
Cheddar,Adoption,Cat,Neutered Male,8 years,Domestic Medium Hair Mix,Orange Tabby
Amelia,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Calico
Jelly Bean,Adoption,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Brown/White
nan,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Tortie
nan,Euthanasia,Dog,Intact Male,2 years,Labrador Retriever/Great Dane,Tan/Black
Rascal,Return_to_owner,Dog,Neutered Male,6 years,Dachshund Mix,Brown
Layla,Transfer,Dog,Spayed Female,11 months,Boxer Mix,Brown Brindle/White
nan,Transfer,Dog,Spayed Female,1 year,Labrador Retriever Mix,Tan/White
nan,Transfer,Dog,Neutered Male,4 years,Shih Tzu/Miniature Poodle,Apricot/White
Mundy,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Blue/White
nan,Transfer,Dog,Neutered Male,2 years,Pit Bull Mix,Red
nan,Adoption,Dog,Spayed Female,2 months,Australian Cattle Dog Mix,Red Merle/Black
Barnaby,Adoption,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Black
Noah,Adoption,Cat,Neutered Male,8 years,Domestic Shorthair Mix,Black/White
Jesse,Return_to_owner,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby
Leo,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
nan,Transfer,Dog,Intact Male,2 months,Australian Cattle Dog Mix,White/Brown
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie
Madison,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
Sheldon,Adoption,Dog,Neutered Male,4 years,German Shepherd Mix,Brown
Chris,Transfer,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby/White
Jillian,Adoption,Dog,Spayed Female,2 years,Pointer Mix,Chocolate/White
nan,Transfer,Cat,Intact Female,6 months,Domestic Medium Hair Mix,Calico
nan,Transfer,Dog,Spayed Female,2 years,Miniature Poodle Mix,Black/Gray
