issue_date,condition,color_type,length(m),height(cm),X1,X2,pet_category,Split(-)(issue_date)_0,Split(-)(issue_date)_1,Split(-)(issue_date)_2,Split(-)(listing_date)_0,Split(-)(listing_date)_1,Split(:)(listing_date)_0,Split(:)(listing_date)_1,Split( )(listing_date)_0,Split( )(listing_date)_1,Split( )(color_type)_0,"ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(pet_id)_0","ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(issue_date)_0",ExtractNumber((\d{2}))(issue_date)_0,"ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(listing_date)_0",ExtractNumber((\d{2}))(listing_date)_0,OneHot()(X2)_0,OneHot()(X2)_1,OneHot()(X2)_4,OneHot()(X2)_7,OneHot()(X2)_9
2016-07-20 00:00:00,1.0,Black,0.18,49.05,13,9,1,2016,07,20 00:00:00,2016,10,2016-10-10 12,14,2016-10-10,12:14:00,Black,63686.0,2016.0,7.0,2016.0,10.0,0,0,0,0,1
2016-03-20 00:00:00,1.0,Red,0.88,49.5,7,1,2,2016,03,20 00:00:00,2016,11,2016-11-03 13,55,2016-11-03,13:55:00,Red,66127.0,2016.0,3.0,2016.0,11.0,0,1,0,0,0
2009-01-06 00:00:00,1.0,Black,0.93,14.83,0,7,2,2009,01,06 00:00:00,2019,01,2019-01-27 11,56,2019-01-27,11:56:00,Black,52366.0,2009.0,1.0,2019.0,1.0,0,0,0,1,0
2013-11-28 00:00:00,2.0,Brown Brindle,0.76,38.99,13,9,2,2013,11,28 00:00:00,2017,12,2017-12-28 00,00,2017-12-28,00:00:00,Brown,55607.0,2013.0,11.0,2017.0,12.0,0,0,0,0,1
2018-08-23 00:00:00,0.0,Black,0.96,24.33,0,1,1,2018,08,23 00:00:00,2018,11,2018-11-29 11,46,2018-11-29,11:46:00,Black,72451.0,2018.0,8.0,2018.0,11.0,0,1,0,0,0
2008-01-25 00:00:00,1.0,Brown Tabby,0.66,36.01,0,1,1,2008,01,25 00:00:00,2016,08,2016-08-15 11,27,2016-08-15,11:27:00,Brown,66055.0,2008.0,1.0,2016.0,8.0,0,1,0,0,0
2018-01-07 00:00:00,nan,Brown,0.45,14.0,11,4,4,2018,01,07 00:00:00,2018,07,2018-07-28 12,36,2018-07-28,12:36:00,Brown,50488.0,2018.0,1.0,2018.0,7.0,0,0,1,0,0
2018-03-14 00:00:00,0.0,White,0.92,49.5,7,1,2,2018,03,14 00:00:00,2018,05,2018-05-24 17,10,2018-05-24,17:10:00,White,68751.0,2018.0,3.0,2018.0,5.0,0,1,0,0,0
2014-11-22 00:00:00,0.0,Blue,0.31,49.04,13,9,2,2014,11,22 00:00:00,2017,04,2017-04-10 16,55,2017-04-10,16:55:00,Blue,57387.0,2014.0,11.0,2017.0,4.0,0,0,0,0,1
2012-08-02 00:00:00,2.0,Black,0.51,45.53,13,9,2,2012,08,02 00:00:00,2019,01,2019-01-07 00,00,2019-01-07,00:00:00,Black,67782.0,2012.0,8.0,2019.0,1.0,0,0,0,0,1
2018-04-11 00:00:00,1.0,Black,0.8,37.17,0,7,2,2018,04,11 00:00:00,2019,05,2019-05-02 14,16,2019-05-02,14:16:00,Black,76397.0,2018.0,4.0,2019.0,5.0,0,0,0,1,0
2017-12-30 00:00:00,0.0,Tortie,0.53,35.06,0,1,1,2017,12,30 00:00:00,2018,04,2018-04-25 17,41,2018-04-25,17:41:00,Tortie,59210.0,2017.0,12.0,2018.0,4.0,0,1,0,0,0
2011-01-25 00:00:00,1.0,Gray,0.32,48.92,0,7,2,2011,01,25 00:00:00,2017,03,2017-03-10 12,21,2017-03-10,12:21:00,Gray,56018.0,2011.0,1.0,2017.0,3.0,0,0,0,1,0
2015-09-01 00:00:00,1.0,Fawn,0.98,14.02,0,7,2,2015,09,01 00:00:00,2016,09,2016-09-23 18,16,2016-09-23,18:16:00,Fawn,53325.0,2015.0,9.0,2016.0,9.0,0,0,0,1,0
2010-07-18 00:00:00,0.0,Tricolor,0.68,22.33,0,7,2,2010,07,18 00:00:00,2018,02,2018-02-18 14,46,2018-02-18,14:46:00,Tricolor,52456.0,2010.0,7.0,2018.0,2.0,0,0,0,1,0
2013-11-29 00:00:00,1.0,Buff,0.16,27.19,0,1,2,2013,11,29 00:00:00,2016,12,2016-12-28 16,15,2016-12-28,16:15:00,Buff,55113.0,2013.0,11.0,2016.0,12.0,0,1,0,0,0
2005-10-04 00:00:00,1.0,White,0.6,49.36,13,9,2,2005,10,04 00:00:00,2018,10,2018-10-27 00,00,2018-10-27,00:00:00,White,73983.0,2005.0,10.0,2018.0,10.0,0,0,0,0,1
2009-02-13 00:00:00,0.0,Black,0.83,22.34,0,1,2,2009,02,13 00:00:00,2017,12,2017-12-14 15,49,2017-12-14,15:49:00,Black,62164.0,2009.0,2.0,2017.0,12.0,0,1,0,0,0
2017-07-28 00:00:00,0.0,White,0.92,37.62,0,1,1,2017,07,28 00:00:00,2019,03,2019-03-27 15,40,2019-03-27,15:40:00,White,53732.0,2017.0,7.0,2019.0,3.0,0,1,0,0,0
2017-05-26 00:00:00,2.0,White,0.16,48.19,0,7,2,2017,05,26 00:00:00,2018,06,2018-06-21 15,15,2018-06-21,15:15:00,White,69635.0,2017.0,5.0,2018.0,6.0,0,0,0,1,0
2018-01-14 00:00:00,nan,White,0.03,21.9,13,9,1,2018,01,14 00:00:00,2018,02,2018-02-11 14,49,2018-02-11,14:49:00,White,54000.0,2018.0,1.0,2018.0,2.0,0,0,0,0,1
2017-08-26 00:00:00,1.0,Black,0.91,30.24,13,9,2,2017,08,26 00:00:00,2018,11,2018-11-15 15,15,2018-11-15,15:15:00,Black,66035.0,2017.0,8.0,2018.0,11.0,0,0,0,0,1
2018-07-06 00:00:00,0.0,Torbie,0.73,15.86,0,1,1,2018,07,06 00:00:00,2018,09,2018-09-30 18,44,2018-09-30,18:44:00,Torbie,50166.0,2018.0,7.0,2018.0,9.0,0,1,0,0,0
2017-07-27 00:00:00,nan,Brown,0.73,8.22,0,6,4,2017,07,27 00:00:00,2018,02,2018-02-18 10,19,2018-02-18,10:19:00,Brown,50330.0,2017.0,7.0,2018.0,2.0,0,0,0,0,0
2010-03-14 00:00:00,1.0,Orange Tabby,0.9,12.88,0,7,1,2010,03,14 00:00:00,2017,04,2017-04-10 14,17,2017-04-10,14:17:00,Orange,66446.0,2010.0,3.0,2017.0,4.0,0,0,0,1,0
2017-06-08 00:00:00,1.0,Tricolor,0.88,41.37,0,7,2,2017,06,08 00:00:00,2018,07,2018-07-30 18,36,2018-07-30,18:36:00,Tricolor,51682.0,2017.0,6.0,2018.0,7.0,0,0,0,1,0
2014-10-31 00:00:00,2.0,Brown,0.65,18.14,13,9,4,2014,10,31 00:00:00,2016,11,2016-11-21 15,26,2016-11-21,15:26:00,Brown,56697.0,2014.0,10.0,2016.0,11.0,0,0,0,0,1
2015-10-23 00:00:00,0.0,Black,0.79,10.9,7,1,1,2015,10,23 00:00:00,2017,12,2017-12-26 11,11,2017-12-26,11:11:00,Black,60819.0,2015.0,10.0,2017.0,12.0,0,1,0,0,0
2017-12-29 00:00:00,nan,Black,0.08,30.4,9,2,1,2017,12,29 00:00:00,2018,03,2018-03-08 11,04,2018-03-08,11:04:00,Black,58673.0,2017.0,12.0,2018.0,3.0,0,0,0,0,0
2018-04-17 00:00:00,0.0,Blue,0.05,44.1,0,1,1,2018,04,17 00:00:00,2018,12,2018-12-14 17,42,2018-12-14,17:42:00,Blue,62458.0,2018.0,4.0,2018.0,12.0,0,1,0,0,0
2016-10-23 00:00:00,0.0,Orange Tabby,0.52,13.25,16,9,1,2016,10,23 00:00:00,2017,11,2017-11-14 09,00,2017-11-14,09:00:00,Orange,64552.0,2016.0,10.0,2017.0,11.0,0,0,0,0,1
2018-11-29 00:00:00,1.0,Black,0.62,32.76,0,1,2,2018,11,29 00:00:00,2019,04,2019-04-08 17,09,2019-04-08,17:09:00,Black,75413.0,2018.0,11.0,2019.0,4.0,0,1,0,0,0
2018-03-29 00:00:00,1.0,White,0.42,10.38,0,8,2,2018,03,29 00:00:00,2019,04,2019-04-26 11,49,2019-04-26,11:49:00,White,76141.0,2018.0,3.0,2019.0,4.0,0,0,0,0,0
2015-01-20 00:00:00,1.0,Black,0.53,42.92,13,9,1,2015,01,20 00:00:00,2018,04,2018-04-09 09,30,2018-04-09,09:30:00,Black,60574.0,2015.0,1.0,2018.0,4.0,0,0,0,0,1
2015-03-06 00:00:00,0.0,Black,0.07,7.09,16,9,1,2015,03,06 00:00:00,2017,03,2017-03-28 19,02,2017-03-28,19:02:00,Black,55045.0,2015.0,3.0,2017.0,3.0,0,0,0,0,1
2016-08-24 00:00:00,0.0,Blue,0.41,35.07,0,1,2,2016,08,24 00:00:00,2017,09,2017-09-24 14,28,2017-09-24,14:28:00,Blue,66680.0,2016.0,8.0,2017.0,9.0,0,1,0,0,0
2008-03-20 00:00:00,2.0,Sable,0.54,17.01,0,7,2,2008,03,20 00:00:00,2017,07,2017-07-23 17,26,2017-07-23,17:26:00,Sable,55030.0,2008.0,3.0,2017.0,7.0,0,0,0,1,0
2017-03-04 00:00:00,0.0,White,0.19,30.01,13,9,2,2017,03,04 00:00:00,2019,04,2019-04-12 13,06,2019-04-12,13:06:00,White,75554.0,2017.0,3.0,2019.0,4.0,0,0,0,0,1
2016-12-15 00:00:00,nan,Brown Tabby,0.44,49.68,18,4,1,2016,12,15 00:00:00,2019,01,2019-01-07 21,55,2019-01-07,21:55:00,Brown,62016.0,2016.0,12.0,2019.0,1.0,0,0,1,0,0
2015-01-28 00:00:00,0.0,Tan,0.67,15.38,0,7,2,2015,01,28 00:00:00,2018,02,2018-02-28 18,24,2018-02-28,18:24:00,Tan,69645.0,2015.0,1.0,2018.0,2.0,0,0,0,1,0
2014-03-13 00:00:00,1.0,Tan,0.7,12.53,0,7,2,2014,03,13 00:00:00,2017,12,2017-12-31 14,42,2017-12-31,14:42:00,Tan,52823.0,2014.0,3.0,2017.0,12.0,0,0,0,1,0
2017-04-07 00:00:00,1.0,Brown,0.8,29.12,0,1,2,2017,04,07 00:00:00,2019,05,2019-05-03 21,07,2019-05-03,21:07:00,Brown,76493.0,2017.0,4.0,2019.0,5.0,0,1,0,0,0
2016-07-16 00:00:00,2.0,Brown Tabby,0.33,46.54,18,4,1,2016,07,16 00:00:00,2016,10,2016-10-15 15,50,2016-10-15,15:50:00,Brown,52483.0,2016.0,7.0,2016.0,10.0,0,0,1,0,0
2016-10-29 00:00:00,0.0,Tan,0.09,20.71,0,1,2,2016,10,29 00:00:00,2017,11,2017-11-24 17,35,2017-11-24,17:35:00,Tan,56705.0,2016.0,10.0,2017.0,11.0,0,1,0,0,0
2016-08-03 00:00:00,1.0,White,0.62,35.64,7,1,1,2016,08,03 00:00:00,2016,10,2016-10-29 19,51,2016-10-29,19:51:00,White,71550.0,2016.0,8.0,2016.0,10.0,0,1,0,0,0
2016-06-21 00:00:00,1.0,Black,0.83,17.96,0,7,1,2016,06,21 00:00:00,2018,06,2018-06-12 11,35,2018-06-12,11:35:00,Black,74451.0,2016.0,6.0,2018.0,6.0,0,0,0,1,0
2016-12-09 00:00:00,0.0,Black,0.04,43.27,0,1,2,2016,12,09 00:00:00,2017,11,2017-11-03 17,36,2017-11-03,17:36:00,Black,54362.0,2016.0,12.0,2017.0,11.0,0,1,0,0,0
2016-07-03 00:00:00,1.0,Orange Tabby,0.38,32.15,16,9,1,2016,07,03 00:00:00,2017,07,2017-07-28 18,59,2017-07-28,18:59:00,Orange,55262.0,2016.0,7.0,2017.0,7.0,0,0,0,0,1
2016-04-08 00:00:00,0.0,Blue,0.1,44.25,0,1,2,2016,04,08 00:00:00,2018,05,2018-05-09 14,57,2018-05-09,14:57:00,Blue,52281.0,2016.0,4.0,2018.0,5.0,0,1,0,0,0
2016-11-18 00:00:00,2.0,Brown Tabby,0.73,35.42,9,2,1,2016,11,18 00:00:00,2017,02,2017-02-21 15,23,2017-02-21,15:23:00,Brown,50293.0,2016.0,11.0,2017.0,2.0,0,0,0,0,0
2010-09-15 00:00:00,0.0,Brown Tabby,0.31,49.06,0,1,1,2010,09,15 00:00:00,2019,03,2019-03-31 18,39,2019-03-31,18:39:00,Brown,63670.0,2010.0,9.0,2019.0,3.0,0,1,0,0,0
2014-01-03 00:00:00,0.0,Tricolor,0.3,23.88,0,7,2,2014,01,03 00:00:00,2019,01,2019-01-27 14,54,2019-01-27,14:54:00,Tricolor,54345.0,2014.0,1.0,2019.0,1.0,0,0,0,1,0
2016-01-07 00:00:00,nan,Red,0.49,39.78,15,4,4,2016,01,07 00:00:00,2018,01,2018-01-29 07,48,2018-01-29,07:48:00,Red,54467.0,2016.0,1.0,2018.0,1.0,0,0,1,0,0
2015-02-07 00:00:00,1.0,Black,0.24,40.52,0,7,1,2015,02,07 00:00:00,2018,02,2018-02-28 16,16,2018-02-28,16:16:00,Black,63117.0,2015.0,2.0,2018.0,2.0,0,0,0,1,0
2016-03-18 00:00:00,2.0,Black,0.79,39.36,0,3,1,2016,03,18 00:00:00,2019,04,2019-04-11 15,06,2019-04-11,15:06:00,Black,75526.0,2016.0,3.0,2019.0,4.0,0,0,0,0,0
2016-11-20 00:00:00,nan,Brown Tabby,0.17,32.6,13,9,1,2016,11,20 00:00:00,2016,12,2016-12-16 16,40,2016-12-16,16:40:00,Brown,58969.0,2016.0,11.0,2016.0,12.0,0,0,0,0,1
2010-05-05 00:00:00,2.0,Buff,0.27,32.8,18,4,1,2010,05,05 00:00:00,2018,05,2018-05-25 14,28,2018-05-25,14:28:00,Buff,61988.0,2010.0,5.0,2018.0,5.0,0,0,1,0,0
2016-02-02 00:00:00,1.0,Blue Tick,0.58,39.96,0,1,2,2016,02,02 00:00:00,2018,03,2018-03-17 14,27,2018-03-17,14:27:00,Blue,69265.0,2016.0,2.0,2018.0,3.0,0,1,0,0,0
2011-04-05 00:00:00,0.0,Black,0.18,48.06,0,7,2,2011,04,05 00:00:00,2019,04,2019-04-27 11,40,2019-04-27,11:40:00,Black,76161.0,2011.0,4.0,2019.0,4.0,0,0,0,1,0
2017-07-12 00:00:00,0.0,White,0.01,30.99,0,1,2,2017,07,12 00:00:00,2018,08,2018-08-05 17,08,2018-08-05,17:08:00,White,72371.0,2017.0,7.0,2018.0,8.0,0,1,0,0,0
2015-09-22 00:00:00,0.0,Brown,0.56,16.55,7,1,2,2015,09,22 00:00:00,2018,09,2018-09-07 12,08,2018-09-07,12:08:00,Brown,62897.0,2015.0,9.0,2018.0,9.0,0,1,0,0,0
2018-08-19 00:00:00,0.0,Orange Tabby,0.46,27.83,0,1,1,2018,08,19 00:00:00,2018,11,2018-11-17 16,12,2018-11-17,16:12:00,Orange,60626.0,2018.0,8.0,2018.0,11.0,0,1,0,0,0
2014-09-23 00:00:00,1.0,Brown,0.45,35.75,0,1,2,2014,09,23 00:00:00,2017,11,2017-11-04 17,07,2017-11-04,17:07:00,Brown,55226.0,2014.0,9.0,2017.0,11.0,0,1,0,0,0
2018-03-01 00:00:00,nan,Red,0.15,36.73,12,1,0,2018,03,01 00:00:00,2018,09,2018-09-20 10,42,2018-09-20,10:42:00,Red,75066.0,2018.0,3.0,2018.0,9.0,0,1,0,0,0
2016-11-29 00:00:00,2.0,Tricolor,0.64,35.69,13,9,2,2016,11,29 00:00:00,2018,12,2018-12-24 17,41,2018-12-24,17:41:00,Tricolor,58763.0,2016.0,11.0,2018.0,12.0,0,0,0,0,1
2016-03-19 00:00:00,1.0,Orange Tabby,0.3,29.19,0,1,1,2016,03,19 00:00:00,2018,04,2018-04-26 17,13,2018-04-26,17:13:00,Orange,63362.0,2016.0,3.0,2018.0,4.0,0,1,0,0,0
2014-10-27 00:00:00,1.0,Orange Tabby,0.32,40.57,16,9,1,2014,10,27 00:00:00,2017,11,2017-11-18 09,00,2017-11-18,09:00:00,Orange,60528.0,2014.0,10.0,2017.0,11.0,0,0,0,0,1
2015-03-02 00:00:00,1.0,Black,0.1,7.12,0,7,2,2015,03,02 00:00:00,2018,04,2018-04-05 13,45,2018-04-05,13:45:00,Black,66119.0,2015.0,3.0,2018.0,4.0,0,0,0,1,0
2017-10-04 00:00:00,1.0,Black,0.0,32.98,7,1,2,2017,10,04 00:00:00,2018,12,2018-12-02 08,09,2018-12-02,08:09:00,Black,73664.0,2017.0,10.0,2018.0,12.0,0,1,0,0,0
2015-10-01 00:00:00,0.0,Blue,0.01,43.68,0,1,1,2015,10,01 00:00:00,2018,11,2018-11-11 16,03,2018-11-11,16:03:00,Blue,58286.0,2015.0,10.0,2018.0,11.0,0,1,0,0,0
2016-07-29 00:00:00,0.0,Torbie,0.89,12.65,0,1,1,2016,07,29 00:00:00,2018,09,2018-09-20 19,05,2018-09-20,19:05:00,Torbie,54029.0,2016.0,7.0,2018.0,9.0,0,1,0,0,0
2016-07-02 00:00:00,1.0,White,0.46,19.38,0,1,1,2016,07,02 00:00:00,2016,11,2016-11-28 18,54,2016-11-28,18:54:00,White,73990.0,2016.0,7.0,2016.0,11.0,0,1,0,0,0
2018-01-30 00:00:00,0.0,Brown Tabby,0.91,45.39,0,1,1,2018,01,30 00:00:00,2019,03,2019-03-06 12,20,2019-03-06,12:20:00,Brown,54886.0,2018.0,1.0,2019.0,3.0,0,1,0,0,0
2018-03-22 00:00:00,2.0,Brown Tabby,0.43,49.54,17,9,1,2018,03,22 00:00:00,2019,04,2019-04-16 12,42,2019-04-16,12:42:00,Brown,75713.0,2018.0,3.0,2019.0,4.0,0,0,0,0,1
2016-11-10 00:00:00,0.0,Brown Tabby,0.67,42.6,0,1,1,2016,11,10 00:00:00,2017,02,2017-02-18 18,57,2017-02-18,18:57:00,Brown,61116.0,2016.0,11.0,2017.0,2.0,0,1,0,0,0
2017-09-05 00:00:00,1.0,Black,0.93,20.02,0,1,2,2017,09,05 00:00:00,2017,12,2017-12-11 20,10,2017-12-11,20:10:00,Black,60330.0,2017.0,9.0,2017.0,12.0,0,1,0,0,0
2017-06-09 00:00:00,0.0,Tan,0.0,22.2,0,7,2,2017,06,09 00:00:00,2018,07,2018-07-03 14,53,2018-07-03,14:53:00,Tan,72100.0,2017.0,6.0,2018.0,7.0,0,0,0,1,0
2017-01-27 00:00:00,0.0,Orange,0.41,6.47,0,1,1,2017,01,27 00:00:00,2019,03,2019-03-03 11,54,2019-03-03,11:54:00,Orange,66412.0,2017.0,1.0,2019.0,3.0,0,1,0,0,0
2017-07-30 00:00:00,1.0,Black,0.02,36.19,17,9,1,2017,07,30 00:00:00,2018,08,2018-08-24 16,59,2018-08-24,16:59:00,Black,70858.0,2017.0,7.0,2018.0,8.0,0,0,0,0,1
2016-11-24 00:00:00,0.0,Torbie,0.44,25.45,0,1,1,2016,11,24 00:00:00,2017,02,2017-02-25 18,47,2017-02-25,18:47:00,Torbie,73513.0,2016.0,11.0,2017.0,2.0,0,1,0,0,0
2014-06-24 00:00:00,1.0,Tan,0.21,31.52,0,7,2,2014,06,24 00:00:00,2018,01,2018-01-19 18,19,2018-01-19,18:19:00,Tan,70120.0,2014.0,6.0,2018.0,1.0,0,0,0,1,0
2016-07-04 00:00:00,0.0,Blue Tabby,0.11,42.76,0,1,1,2016,07,04 00:00:00,2016,11,2016-11-25 18,46,2016-11-25,18:46:00,Blue,71504.0,2016.0,7.0,2016.0,11.0,0,1,0,0,0
2012-07-21 00:00:00,0.0,Chocolate,0.84,22.98,0,7,2,2012,07,21 00:00:00,2017,08,2017-08-05 17,34,2017-08-05,17:34:00,Chocolate,71993.0,2012.0,7.0,2017.0,8.0,0,0,0,1,0
2013-12-27 00:00:00,0.0,Black,0.09,8.86,0,1,1,2013,12,27 00:00:00,2018,10,2018-10-05 15,59,2018-10-05,15:59:00,Black,69762.0,2013.0,12.0,2018.0,10.0,0,1,0,0,0
2018-07-19 00:00:00,1.0,Orange Tabby,0.06,15.46,0,1,1,2018,07,19 00:00:00,2018,12,2018-12-23 19,15,2018-12-23,19:15:00,Orange,59393.0,2018.0,7.0,2018.0,12.0,0,1,0,0,0
2018-09-24 00:00:00,2.0,White,0.61,25.47,0,7,2,2018,09,24 00:00:00,2019,05,2019-05-08 13,05,2019-05-08,13:05:00,White,76646.0,2018.0,9.0,2019.0,5.0,0,0,0,1,0
2015-01-16 00:00:00,2.0,Orange Tabby,0.81,42.33,18,4,1,2015,01,16 00:00:00,2017,02,2017-02-07 09,16,2017-02-07,09:16:00,Orange,66359.0,2015.0,1.0,2017.0,2.0,0,0,1,0,0
2010-10-02 00:00:00,1.0,Chocolate,0.14,45.05,0,7,2,2010,10,02 00:00:00,2018,10,2018-10-22 13,25,2018-10-22,13:25:00,Chocolate,67558.0,2010.0,10.0,2018.0,10.0,0,0,0,1,0
2009-06-01 00:00:00,2.0,Black,0.05,31.45,13,9,1,2009,06,01 00:00:00,2017,06,2017-06-26 17,07,2017-06-26,17:07:00,Black,52564.0,2009.0,6.0,2017.0,6.0,0,0,0,0,1
2007-02-19 00:00:00,2.0,Brown Tabby,0.82,17.62,9,2,1,2007,02,19 00:00:00,2017,03,2017-03-10 18,29,2017-03-10,18:29:00,Brown,63471.0,2007.0,2.0,2017.0,3.0,0,0,0,0,0
2016-09-04 00:00:00,1.0,Black,0.81,29.03,0,1,1,2016,09,04 00:00:00,2017,01,2017-01-23 18,20,2017-01-23,18:20:00,Black,50012.0,2016.0,9.0,2017.0,1.0,0,1,0,0,0
2015-04-12 00:00:00,0.0,White,0.76,46.05,0,1,2,2015,04,12 00:00:00,2018,09,2018-09-07 16,46,2018-09-07,16:46:00,White,54755.0,2015.0,4.0,2018.0,9.0,0,1,0,0,0
2016-09-16 00:00:00,1.0,Black,0.92,11.19,0,1,1,2016,09,16 00:00:00,2018,10,2018-10-11 15,57,2018-10-11,15:57:00,Black,69874.0,2016.0,9.0,2018.0,10.0,0,1,0,0,0
2016-11-17 00:00:00,nan,Calico,0.99,44.23,13,9,1,2016,11,17 00:00:00,2016,12,2016-12-10 19,24,2016-12-10,19:24:00,Calico,52815.0,2016.0,11.0,2016.0,12.0,0,0,0,0,1
2016-09-18 00:00:00,nan,Red,0.16,8.42,15,4,4,2016,09,18 00:00:00,2018,10,2018-10-10 09,16,2018-10-10,09:16:00,Red,63690.0,2016.0,9.0,2018.0,10.0,0,0,1,0,0
2017-09-17 00:00:00,2.0,Black Tabby,0.33,33.54,13,9,1,2017,09,17 00:00:00,2017,10,2017-10-31 12,24,2017-10-31,12:24:00,Black,74184.0,2017.0,9.0,2017.0,10.0,0,0,0,0,1
2016-11-16 00:00:00,2.0,Black,0.95,44.05,13,9,1,2016,11,16 00:00:00,2017,04,2017-04-02 13,44,2017-04-02,13:44:00,Black,68874.0,2016.0,11.0,2017.0,4.0,0,0,0,0,1
2014-08-13 00:00:00,2.0,Red,0.17,33.19,15,4,4,2014,08,13 00:00:00,2017,09,2017-09-03 18,54,2017-09-03,18:54:00,Red,64736.0,2014.0,8.0,2017.0,9.0,0,0,1,0,0
2016-09-13 00:00:00,1.0,Tan,0.14,17.85,13,9,2,2016,09,13 00:00:00,2016,12,2016-12-17 14,57,2016-12-17,14:57:00,Tan,60337.0,2016.0,9.0,2016.0,12.0,0,0,0,0,1
2017-10-11 00:00:00,2.0,Brown Tabby,0.37,17.3,0,1,1,2017,10,11 00:00:00,2018,01,2018-01-04 17,17,2018-01-04,17:17:00,Brown,65602.0,2017.0,10.0,2018.0,1.0,0,1,0,0,0
