gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,Churn,Split( )(MultipleLines)_0,Split( )(OnlineSecurity)_0,Split( )(OnlineBackup)_0,Split( )(DeviceProtection)_0,Split( )(TechSupport)_0,Split( )(StreamingTV)_0,Split( )(StreamingMovies)_0,Split(-)(Contract)_1,Split( )(PaymentMethod)_1,Split(.)(TotalCharges)_1,SplitAlign( )(MultipleLines)_No,SplitAlign( )(MultipleLines)_Yes,SplitAlign( )(MultipleLines)_phone,SplitAlign( )(InternetService)_DSL,SplitAlign( )(InternetService)_Fiber,SplitAlign( )(InternetService)_No,SplitAlign( )(OnlineSecurity)_No,SplitAlign( )(OnlineSecurity)_Yes,SplitAlign( )(OnlineBackup)_No,SplitAlign( )(OnlineBackup)_Yes,SplitAlign( )(DeviceProtection)_No,SplitAlign( )(DeviceProtection)_Yes,SplitAlign( )(TechSupport)_No,SplitAlign( )(TechSupport)_Yes,SplitAlign( )(StreamingTV)_No,SplitAlign( )(StreamingTV)_Yes,SplitAlign( )(StreamingMovies)_No,SplitAlign( )(StreamingMovies)_Yes,SplitAlign( )(Contract)_Month-to-month,SplitAlign( )(Contract)_One,SplitAlign( )(Contract)_Two,SplitAlign( )(Contract)_year,SplitAlign( )(PaymentMethod)_(automatic),SplitAlign( )(PaymentMethod)_Bank,SplitAlign( )(PaymentMethod)_Credit,SplitAlign( )(PaymentMethod)_Electronic,SplitAlign( )(PaymentMethod)_Mailed,SplitAlign( )(PaymentMethod)_check,ExtractNumber((\d+))(customerID)_0,ExtractNumber((\d+\.\d+))(TotalCharges)_0,"ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(TotalCharges)_0",ExtractNumber((\d{2}))(TotalCharges)_0,ExtractNumber((\d{4}))(TotalCharges)_0,ExtractNumber((\d+))(TotalCharges)_0,"ExtractWord([Month, year])(Contract)_0","ExtractWord([automatic, check])(PaymentMethod)_0",OneHot()(MultipleLines)_No,OneHot()(OnlineSecurity)_No,OneHot()(OnlineBackup)_No,OneHot()(DeviceProtection)_No,OneHot()(TechSupport)_No,OneHot()(StreamingTV)_No,OneHot()(StreamingMovies)_No,ExtractNumber((\d{4}))(Split(.)(TotalCharges)_0)_0,ExtractNumber((\d+))(Split(.)(TotalCharges)_1)_0,"ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(Split(.)(TotalCharges)_1)_0",ExtractNumber((\d{2}))(Split(.)(TotalCharges)_1)_0,Numerical()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1,OneHot()(Split(.)(TotalCharges)_1)_05,OneHot()(Split(.)(TotalCharges)_1)_1,OneHot()(Split(.)(TotalCharges)_1)_15,OneHot()(Split(.)(TotalCharges)_1)_2,OneHot()(Split(.)(TotalCharges)_1)_25,OneHot()(Split(.)(TotalCharges)_1)_3,OneHot()(Split(.)(TotalCharges)_1)_35,OneHot()(Split(.)(TotalCharges)_1)_4,OneHot()(Split(.)(TotalCharges)_1)_45,OneHot()(Split(.)(TotalCharges)_1)_5,OneHot()(Split(.)(TotalCharges)_1)_55,OneHot()(Split(.)(TotalCharges)_1)_6,OneHot()(Split(.)(TotalCharges)_1)_65,OneHot()(Split(.)(TotalCharges)_1)_7,OneHot()(Split(.)(TotalCharges)_1)_75,OneHot()(Split(.)(TotalCharges)_1)_8,OneHot()(Split(.)(TotalCharges)_1)_85,OneHot()(Split(.)(TotalCharges)_1)_9,OneHot()(Split(.)(TotalCharges)_1)_95,WordToNumber()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1,ExtractNumber((\d+))(Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_0,"ExtractNumber(:(?:\d*[.,]\d+)|(?:\d+[.,]?))(?:[Ee][+-)(Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_0",ExtractNumber((\d{2}))(Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_0,ExtractNumber((\d+))(ModeImputation()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_0,ExtractNumber((\d{2}))(ModeImputation()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_0,Numerical()(Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1,OneHot()(ModeImputation()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_45,WordToNumber()(Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1)_Lowercase()(Split(.)(TotalCharges)_1)_Split(.)(TotalCharges)_1
Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,No,No,Yes,No,No,No,No,No,to,check,45,1,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,9763.0,587.45,587.45,45.0,nan,587.0,Month,check,1,0,1,1,1,1,1,nan,45.0,45.0,45.0,45.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1,45.0
Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,No,No,No,No,No,No,No,No,nan,card,8,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,7469.0,326.8,326.8,nan,nan,326.0,year,automatic,1,0,0,0,0,0,0,nan,8.0,8.0,nan,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8.0,8.0,8.0,nan,8.0,nan,8.0,0,8.0
Male,0,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,No,Yes,No,No,Yes,No,Yes,Yes,nan,card,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,8091.0,5681.1,5681.1,nan,5681.0,5681.0,year,automatic,0,1,1,0,1,0,0,5681.0,1.0,1.0,nan,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,nan,1.0,nan,1.0,0,1.0
Male,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,Yes,Yes,No,Yes,Yes,No,Yes,Yes,to,transfer,3,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,280.0,5036.3,5036.3,nan,5036.0,5036.0,Month,automatic,0,1,0,0,1,0,0,5036.0,3.0,3.0,nan,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,nan,3.0,nan,3.0,0,3.0
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,No,No,Yes,No,Yes,Yes,Yes,Yes,to,check,05,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,5129.0,2686.05,2686.05,5.0,2686.0,2686.0,Month,check,1,0,1,0,0,0,0,2686.0,5.0,5.0,5.0,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,5.0
Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,nan,card,15,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,3655.0,7895.15,7895.15,15.0,7895.0,7895.0,year,automatic,0,0,0,0,0,0,0,7895.0,15.0,15.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0,15.0
Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,No,No,No,No,No,No,No,No,nan,check,95,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,8191.0,1022.95,1022.95,95.0,1022.0,1022.0,year,check,1,0,0,0,0,0,0,1022.0,95.0,95.0,95.0,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95.0,95.0,95.0,95.0,95.0,95.0,95.0,0,95.0
Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,No,Yes,Yes,No,Yes,No,Yes,Yes,nan,transfer,25,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,9959.0,7382.25,7382.25,25.0,7382.0,7382.0,year,automatic,0,0,1,0,1,0,0,7382.0,25.0,25.0,25.0,25.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,25.0
Female,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,Yes,No,No,No,Yes,Yes,No,No,to,card,35,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,4190.0,528.35,528.35,35.0,nan,528.0,Month,automatic,1,1,1,0,0,1,1,nan,35.0,35.0,35.0,35.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,0,35.0
Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,No,No,No,Yes,Yes,No,No,Yes,to,check,9,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,4183.0,1862.9,1862.9,nan,1862.0,1862.0,Month,check,1,1,0,0,1,1,0,1862.0,9.0,9.0,nan,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.0,9.0,9.0,nan,9.0,nan,9.0,0,9.0
Male,1,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,Yes,No,No,No,Yes,No,No,Yes,to,check,65,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,8779.0,39.65,39.65,39.0,nan,39.0,Month,check,0,1,1,0,1,1,0,nan,65.0,65.0,65.0,65.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,0,65.0
Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,No,No,No,No,No,No,No,No,nan,transfer,25,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1680.0,202.25,202.25,25.0,nan,202.0,year,automatic,1,0,0,0,0,0,0,nan,25.0,25.0,25.0,25.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,25.0
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,Yes,No,No,No,No,No,No,No,to,check,15,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1066.0,20.15,20.15,20.0,nan,20.0,Month,check,1,0,0,0,0,0,0,nan,15.0,15.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0,15.0
Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,No,Yes,No,Yes,No,Yes,No,No,nan,card,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,3638.0,3505.1,3505.1,nan,3505.0,3505.0,year,automatic,0,1,0,1,0,1,1,3505.0,1.0,1.0,nan,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,nan,1.0,nan,1.0,0,1.0
Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,No,No,Yes,Yes,No,Yes,No,No,to,card,3,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,6322.0,2970.3,2970.3,nan,2970.0,2970.0,Month,automatic,1,0,0,1,0,1,1,2970.0,3.0,3.0,nan,3.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,3.0,3.0,nan,3.0,nan,3.0,0,3.0
Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,No,No,Yes,Yes,No,No,No,No,to,transfer,6,1,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,6865.0,1530.6,1530.6,nan,1530.0,1530.0,Month,automatic,1,0,0,1,1,1,1,1530.0,6.0,6.0,nan,6.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6.0,6.0,6.0,nan,6.0,nan,6.0,0,6.0
Male,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,Yes,Yes,No,Yes,No,No,Yes,Yes,to,check,15,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,6467.0,4749.15,4749.15,15.0,4749.0,4749.0,Month,check,0,1,0,1,1,0,0,4749.0,15.0,15.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,0,15.0
Male,0,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,Yes,No,No,Yes,No,No,No,No,to,check,2,1,0,1,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,8665.0,30.2,30.2,30.0,nan,30.0,Month,check,0,1,0,1,1,1,1,nan,2.0,2.0,nan,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,2.0,2.0,nan,2.0,nan,2.0,0,2.0
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,nan,card,45,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,5248.0,6369.45,6369.45,45.0,6369.0,6369.0,year,automatic,0,0,0,0,0,0,0,6369.0,45.0,45.0,45.0,45.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,1,45.0
Female,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,Yes,No,No,No,No,No,Yes,Yes,to,check,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,1,8773.0,1093.1,1093.1,nan,1093.0,1093.0,Month,check,1,1,1,1,1,0,0,1093.0,1.0,1.0,nan,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,nan,1.0,nan,1.0,0,1.0
Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,No,Yes,Yes,Yes,Yes,Yes,No,No,nan,card,95,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,3841.0,6766.95,6766.95,95.0,6766.0,6766.0,year,automatic,0,0,0,0,0,1,1,6766.0,95.0,95.0,95.0,95.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95.0,95.0,95.0,95.0,95.0,95.0,95.0,0,95.0
