country,year,sex,age,suicides_no,population,country-year,gdp_per_capita ($),generation
Albania,2008,female,5-14 years,1.0,246288,Albania2008,4672,Generation Z
Albania,2009,female,15-24 years,0.0,270003,Albania2009,4387,Millenials
Albania,2009,female,25-34 years,0.0,182712,Albania2009,4387,Generation X
Albania,2009,female,35-54 years,0.0,394286,Albania2009,4387,Boomers
Albania,2009,female,5-14 years,0.0,236174,Albania2009,4387,Generation Z
Albania,2009,female,55-74 years,0.0,233302,Albania2009,4387,Silent
Albania,2009,female,75+ years,0.0,61582,Albania2009,4387,Silent
Albania,2009,male,15-24 years,0.0,283448,Albania2009,4387,Millenials
Albania,2009,male,25-34 years,0.0,174955,Albania2009,4387,Generation X
Albania,2009,male,35-54 years,0.0,374365,Albania2009,4387,Boomers
Albania,2009,male,5-14 years,0.0,253007,Albania2009,4387,Generation Z
Albania,2009,male,55-74 years,0.0,234570,Albania2009,4387,Silent
Albania,2009,male,75+ years,0.0,47331,Albania2009,4387,Silent
Albania,2010,male,55-74 years,20.0,241852,Albania2010,4359,Silent
Albania,2010,male,35-54 years,20.0,371611,Albania2010,4359,Generation X
Albania,2010,male,25-34 years,9.0,179720,Albania2010,4359,Generation X
Albania,2010,male,75+ years,2.0,50767,Albania2010,4359,Silent
Albania,2010,male,15-24 years,10.0,279508,Albania2010,4359,Millenials
Albania,2010,female,25-34 years,6.0,183579,Albania2010,4359,Generation X
Albania,2010,female,75+ years,2.0,64415,Albania2010,4359,Silent
Albania,2010,female,35-54 years,12.0,394593,Albania2010,4359,Generation X
Albania,2010,female,55-74 years,7.0,241491,Albania2010,4359,Silent
Albania,2010,female,15-24 years,6.0,263581,Albania2010,4359,Millenials
Albania,2010,female,5-14 years,2.0,223969,Albania2010,4359,Generation Z
Albania,2010,male,5-14 years,0.0,240939,Albania2010,4359,Generation Z
Antigua and Barbuda,1985,female,15-24 years,0.0,7709,Antigua and Barbuda1985,3850,Generation X
Antigua and Barbuda,1985,female,25-34 years,0.0,6344,Antigua and Barbuda1985,3850,Boomers
Antigua and Barbuda,1985,female,35-54 years,0.0,6173,Antigua and Barbuda1985,3850,Silent
Antigua and Barbuda,1985,female,5-14 years,0.0,7339,Antigua and Barbuda1985,3850,Generation X
Antigua and Barbuda,1985,female,55-74 years,0.0,3778,Antigua and Barbuda1985,3850,G.I. Generation
Antigua and Barbuda,1985,female,75+ years,0.0,949,Antigua and Barbuda1985,3850,G.I. Generation
Antigua and Barbuda,1985,male,15-24 years,0.0,7667,Antigua and Barbuda1985,3850,Generation X
Antigua and Barbuda,1985,male,25-34 years,0.0,6194,Antigua and Barbuda1985,3850,Boomers
Antigua and Barbuda,1985,male,35-54 years,0.0,5970,Antigua and Barbuda1985,3850,Silent
Antigua and Barbuda,1985,male,5-14 years,0.0,7304,Antigua and Barbuda1985,3850,Generation X
Antigua and Barbuda,1985,male,55-74 years,0.0,2723,Antigua and Barbuda1985,3850,G.I. Generation
Antigua and Barbuda,1985,male,75+ years,0.0,424,Antigua and Barbuda1985,3850,G.I. Generation
Antigua and Barbuda,1986,female,15-24 years,0.0,7668,Antigua and Barbuda1986,4740,Generation X
Antigua and Barbuda,1986,female,25-34 years,0.0,6209,Antigua and Barbuda1986,4740,Boomers
Antigua and Barbuda,1986,female,35-54 years,0.0,6101,Antigua and Barbuda1986,4740,Silent
Antigua and Barbuda,1986,female,5-14 years,0.0,6907,Antigua and Barbuda1986,4740,Generation X
Antigua and Barbuda,1986,female,55-74 years,0.0,3764,Antigua and Barbuda1986,4740,G.I. Generation
Antigua and Barbuda,1986,female,75+ years,0.0,1014,Antigua and Barbuda1986,4740,G.I. Generation
Antigua and Barbuda,1986,male,15-24 years,0.0,7563,Antigua and Barbuda1986,4740,Generation X
Antigua and Barbuda,1986,male,25-34 years,0.0,6023,Antigua and Barbuda1986,4740,Boomers
Antigua and Barbuda,1986,male,35-54 years,0.0,5947,Antigua and Barbuda1986,4740,Silent
Antigua and Barbuda,1986,male,5-14 years,0.0,6827,Antigua and Barbuda1986,4740,Generation X
Antigua and Barbuda,1986,male,55-74 years,0.0,2771,Antigua and Barbuda1986,4740,G.I. Generation
Antigua and Barbuda,1986,male,75+ years,0.0,476,Antigua and Barbuda1986,4740,G.I. Generation
Antigua and Barbuda,1987,female,15-24 years,0.0,7583,Antigua and Barbuda1987,5595,Generation X
Antigua and Barbuda,1987,female,25-34 years,0.0,6101,Antigua and Barbuda1987,5595,Boomers
Antigua and Barbuda,1987,female,35-54 years,0.0,6059,Antigua and Barbuda1987,5595,Silent
Antigua and Barbuda,1987,female,5-14 years,0.0,6623,Antigua and Barbuda1987,5595,Generation X
Antigua and Barbuda,1987,female,55-74 years,0.0,3738,Antigua and Barbuda1987,5595,G.I. Generation
Antigua and Barbuda,1987,female,75+ years,0.0,1081,Antigua and Barbuda1987,5595,G.I. Generation
Antigua and Barbuda,1987,male,15-24 years,0.0,7421,Antigua and Barbuda1987,5595,Generation X
Antigua and Barbuda,1987,male,25-34 years,0.0,5893,Antigua and Barbuda1987,5595,Boomers
Antigua and Barbuda,1987,male,35-54 years,0.0,5927,Antigua and Barbuda1987,5595,Silent
Antigua and Barbuda,1987,male,5-14 years,0.0,6499,Antigua and Barbuda1987,5595,Generation X
Antigua and Barbuda,1987,male,55-74 years,0.0,2798,Antigua and Barbuda1987,5595,G.I. Generation
Antigua and Barbuda,1987,male,75+ years,0.0,538,Antigua and Barbuda1987,5595,G.I. Generation
Antigua and Barbuda,1988,female,15-24 years,0.0,7413,Antigua and Barbuda1988,6693,Generation X
Antigua and Barbuda,1988,female,25-34 years,0.0,6041,Antigua and Barbuda1988,6693,Boomers
Antigua and Barbuda,1988,female,35-54 years,0.0,6021,Antigua and Barbuda1988,6693,Silent
Antigua and Barbuda,1988,female,5-14 years,0.0,6527,Antigua and Barbuda1988,6693,Generation X
Antigua and Barbuda,1988,female,55-74 years,0.0,3708,Antigua and Barbuda1988,6693,G.I. Generation
Antigua and Barbuda,1988,female,75+ years,0.0,1141,Antigua and Barbuda1988,6693,G.I. Generation
Antigua and Barbuda,1988,male,15-24 years,0.0,7209,Antigua and Barbuda1988,6693,Generation X
Antigua and Barbuda,1988,male,25-34 years,0.0,5826,Antigua and Barbuda1988,6693,Boomers
Antigua and Barbuda,1988,male,35-54 years,0.0,5907,Antigua and Barbuda1988,6693,Silent
Antigua and Barbuda,1988,male,5-14 years,0.0,6355,Antigua and Barbuda1988,6693,Generation X
Antigua and Barbuda,1988,male,55-74 years,0.0,2813,Antigua and Barbuda1988,6693,G.I. Generation
Antigua and Barbuda,1988,male,75+ years,0.0,603,Antigua and Barbuda1988,6693,G.I. Generation
Antigua and Barbuda,1989,female,15-24 years,0.0,7152,Antigua and Barbuda1989,7407,Generation X
Antigua and Barbuda,1989,female,25-34 years,0.0,6059,Antigua and Barbuda1989,7407,Boomers
Antigua and Barbuda,1989,female,35-54 years,0.0,5969,Antigua and Barbuda1989,7407,Silent
Antigua and Barbuda,1989,female,5-14 years,0.0,6621,Antigua and Barbuda1989,7407,Generation X
Antigua and Barbuda,1989,female,55-74 years,0.0,3696,Antigua and Barbuda1989,7407,G.I. Generation
Antigua and Barbuda,1989,female,75+ years,0.0,1195,Antigua and Barbuda1989,7407,G.I. Generation
Antigua and Barbuda,1989,male,15-24 years,0.0,6927,Antigua and Barbuda1989,7407,Generation X
Antigua and Barbuda,1989,male,25-34 years,0.0,5835,Antigua and Barbuda1989,7407,Boomers
Antigua and Barbuda,1989,male,35-54 years,0.0,5862,Antigua and Barbuda1989,7407,Silent
Antigua and Barbuda,1989,male,5-14 years,0.0,6403,Antigua and Barbuda1989,7407,Generation X
Antigua and Barbuda,1989,male,55-74 years,0.0,2843,Antigua and Barbuda1989,7407,G.I. Generation
Antigua and Barbuda,1989,male,75+ years,0.0,676,Antigua and Barbuda1989,7407,G.I. Generation
Antigua and Barbuda,1990,male,35-54 years,1.0,5799,Antigua and Barbuda1990,7744,Silent
Antigua and Barbuda,1990,female,15-24 years,0.0,6827,Antigua and Barbuda1990,7744,Generation X
Antigua and Barbuda,1990,female,25-34 years,0.0,6172,Antigua and Barbuda1990,7744,Boomers
Antigua and Barbuda,1990,female,35-54 years,0.0,5895,Antigua and Barbuda1990,7744,Silent
Antigua and Barbuda,1990,female,5-14 years,0.0,6877,Antigua and Barbuda1990,7744,Generation X
Antigua and Barbuda,1990,female,55-74 years,0.0,3706,Antigua and Barbuda1990,7744,G.I. Generation
Antigua and Barbuda,1990,female,75+ years,0.0,1252,Antigua and Barbuda1990,7744,G.I. Generation
Antigua and Barbuda,1990,male,15-24 years,0.0,6598,Antigua and Barbuda1990,7744,Generation X
Antigua and Barbuda,1990,male,25-34 years,0.0,5937,Antigua and Barbuda1990,7744,Boomers
Antigua and Barbuda,1990,male,5-14 years,0.0,6611,Antigua and Barbuda1990,7744,Generation X
Antigua and Barbuda,1990,male,55-74 years,0.0,2902,Antigua and Barbuda1990,7744,G.I. Generation
Antigua and Barbuda,1990,male,75+ years,0.0,758,Antigua and Barbuda1990,7744,G.I. Generation
Antigua and Barbuda,1991,female,15-24 years,0.0,6595,Antigua and Barbuda1991,7976,Generation X
Antigua and Barbuda,1991,female,25-34 years,0.0,6396,Antigua and Barbuda1991,7976,Boomers
Antigua and Barbuda,1991,female,35-54 years,0.0,6198,Antigua and Barbuda1991,7976,Boomers
Antigua and Barbuda,1991,female,5-14 years,0.0,7089,Antigua and Barbuda1991,7976,Millenials
Antigua and Barbuda,1991,female,55-74 years,0.0,3665,Antigua and Barbuda1991,7976,Silent
Antigua and Barbuda,1991,female,75+ years,0.0,1293,Antigua and Barbuda1991,7976,G.I. Generation
Antigua and Barbuda,1991,male,15-24 years,0.0,6401,Antigua and Barbuda1991,7976,Generation X
Antigua and Barbuda,1991,male,25-34 years,0.0,6156,Antigua and Barbuda1991,7976,Boomers
Antigua and Barbuda,1991,male,35-54 years,0.0,6122,Antigua and Barbuda1991,7976,Boomers
Antigua and Barbuda,1991,male,5-14 years,0.0,6818,Antigua and Barbuda1991,7976,Millenials
Antigua and Barbuda,1991,male,55-74 years,0.0,2857,Antigua and Barbuda1991,7976,Silent
Antigua and Barbuda,1991,male,75+ years,0.0,804,Antigua and Barbuda1991,7976,G.I. Generation
Antigua and Barbuda,1992,female,15-24 years,0.0,6369,Antigua and Barbuda1992,8087,Generation X
Antigua and Barbuda,1992,female,25-34 years,0.0,6650,Antigua and Barbuda1992,8087,Boomers
Antigua and Barbuda,1992,female,35-54 years,0.0,6534,Antigua and Barbuda1992,8087,Boomers
Antigua and Barbuda,1992,female,5-14 years,0.0,7311,Antigua and Barbuda1992,8087,Millenials
Antigua and Barbuda,1992,female,55-74 years,0.0,3648,Antigua and Barbuda1992,8087,Silent
Antigua and Barbuda,1992,female,75+ years,0.0,1339,Antigua and Barbuda1992,8087,G.I. Generation
